age,sex,state,value
M_45to54Years,M,NewJersey,624281
M_55to64Years,M,NewJersey,622721
M_65to74Years,M,NewJersey,403049
M_75to84Years,M,NewJersey,182138
M_85YearsandOver,M,NewJersey,67914
M_Under5Years,M,NewMexico,61578
M_5to9Years,M,NewMexico,68043
M_10to14Years,M,NewMexico,74617
M_15to17Years,M,NewMexico,43125
M_18to24Years,M,NewMexico,102046
M_25to34Years,M,NewMexico,144760
M_35to44Years,M,NewMexico,131926
M_45to54Years,M,NewMexico,119662
M_55to64Years,M,NewMexico,132493
M_65to74Years,M,NewMexico,106777
M_75to84Years,M,NewMexico,47392
M_85YearsandOver,M,NewMexico,16029
M_Under5Years,M,NewYork,590167
M_5to9Years,M,NewYork,577739
M_10to14Years,M,NewYork,620488
M_15to17Years,M,NewYork,370896
M_18to24Years,M,NewYork,910475
M_25to34Years,M,NewYork,1449506
M_35to44Years,M,NewYork,1264814
M_45to54Years,M,NewYork,1275357
M_55to64Years,M,NewYork,1310482
M_65to74Years,M,NewYork,895711
M_75to84Years,M,NewYork,400262
M_85YearsandOver,M,NewYork,155814
M_Under5Years,M,NorthCarolina,304889
M_5to9Years,M,NorthCarolina,319048
M_10to14Years,M,NorthCarolina,346840
M_15to17Years,M,NorthCarolina,205862
M_18to24Years,M,NorthCarolina,504452
M_25to34Years,M,NorthCarolina,680742
M_35to44Years,M,NorthCarolina,642983
M_45to54Years,M,NorthCarolina,668994
M_55to64Years,M,NorthCarolina,647688
M_65to74Years,M,NorthCarolina,477261
M_75to84Years,M,NorthCarolina,205600
M_85YearsandOver,M,NorthCarolina,63307
M_Under5Years,M,NorthDakota,27612
M_5to9Years,M,NorthDakota,26774
M_10to14Years,M,NorthDakota,26311
M_15to17Years,M,NorthDakota,13946
M_18to24Years,M,NorthDakota,44800
M_25to34Years,M,NorthDakota,61657
M_35to44Years,M,NorthDakota,50465
M_45to54Years,M,NorthDakota,41873
M_55to64Years,M,NorthDakota,48776
M_65to74Years,M,NorthDakota,33924
M_75to84Years,M,NorthDakota,14654
M_85YearsandOver,M,NorthDakota,6301
M_Under5Years,M,Ohio,351995
M_5to9Years,M,Ohio,366508
M_10to14Years,M,Ohio,390216
M_15to17Years,M,Ohio,237370
M_18to24Years,M,Ohio,539866
M_25to34Years,M,Ohio,776454
M_35to44Years,M,Ohio,715930
M_45to54Years,M,Ohio,737774
M_55to64Years,M,Ohio,792324
M_65to74Years,M,Ohio,564936
M_75to84Years,M,Ohio,240950
M_85YearsandOver,M,Ohio,85681
M_Under5Years,M,Oklahoma,129519
M_5to9Years,M,Oklahoma,136180
M_10to14Years,M,Oklahoma,142822
M_15to17Years,M,Oklahoma,82948
M_18to24Years,M,Oklahoma,196910
M_25to34Years,M,Oklahoma,271531
M_35to44Years,M,Oklahoma,254745
M_45to54Years,M,Oklahoma,231695
M_55to64Years,M,Oklahoma,241267
M_65to74Years,M,Oklahoma,173216
M_75to84Years,M,Oklahoma,80827
M_85YearsandOver,M,Oklahoma,23267
M_Under5Years,M,Oregon,114886
M_5to9Years,M,Oregon,124130
M_10to14Years,M,Oregon,131624
M_15to17Years,M,Oregon,77796
M_18to24Years,M,Oregon,184620
M_25to34Years,M,Oregon,300714
M_35to44Years,M,Oregon,292494
M_45to54Years,M,Oregon,262643
M_55to64Years,M,Oregon,264235
M_65to74Years,M,Oregon,220081
M_75to84Years,M,Oregon,90549
M_85YearsandOver,M,Oregon,32657
M_Under5Years,M,Pennsylvania,358907
M_5to9Years,M,Pennsylvania,372560
M_10to14Years,M,Pennsylvania,407426
M_15to17Years,M,Pennsylvania,247022
M_18to24Years,M,Pennsylvania,584520
M_25to34Years,M,Pennsylvania,864033
M_35to44Years,M,Pennsylvania,784542
M_45to54Years,M,Pennsylvania,824294
M_55to64Years,M,Pennsylvania,903026
M_65to74Years,M,Pennsylvania,651629
M_75to84Years,M,Pennsylvania,285611
M_85YearsandOver,M,Pennsylvania,110647
M_Under5Years,M,RhodeIsland,28236
M_5to9Years,M,RhodeIsland,28728
M_10to14Years,M,RhodeIsland,32137
M_15to17Years,M,RhodeIsland,19833
M_18to24Years,M,RhodeIsland,55615
M_25to34Years,M,RhodeIsland,77010
M_35to44Years,M,RhodeIsland,65678
M_45to54Years,M,RhodeIsland,69183
M_55to64Years,M,RhodeIsland,74894
M_65to74Years,M,RhodeIsland,52110
M_75to84Years,M,RhodeIsland,22662
M_85YearsandOver,M,RhodeIsland,8197
M_Under5Years,M,SouthCarolina,146308
M_5to9Years,M,SouthCarolina,155195
M_10to14Years,M,SouthCarolina,167163
M_15to17Years,M,SouthCarolina,97971
M_18to24Years,M,SouthCarolina,238194
M_25to34Years,M,SouthCarolina,324208
M_35to44Years,M,SouthCarolina,305203
M_45to54Years,M,SouthCarolina,310404
M_55to64Years,M,SouthCarolina,324491
M_65to74Years,M,SouthCarolina,260748
M_75to84Years,M,SouthCarolina,113123
M_85YearsandOver,M,SouthCarolina,31051
M_Under5Years,M,SouthDakota,30241
M_5to9Years,M,SouthDakota,31312
M_10to14Years,M,SouthDakota,31887
M_15to17Years,M,SouthDakota,18202
M_18to24Years,M,SouthDakota,42713
M_25to34Years,M,SouthDakota,59518
M_35to44Years,M,SouthDakota,55526
M_45to54Years,M,SouthDakota,49291
M_55to64Years,M,SouthDakota,58835
M_65to74Years,M,SouthDakota,44416
M_75to84Years,M,SouthDakota,18047
M_85YearsandOver,M,SouthDakota,6473
M_Under5Years,M,Tennessee,207621
M_5to9Years,M,Tennessee,213730
M_10to14Years,M,Tennessee,227633
M_15to17Years,M,Tennessee,135614
M_18to24Years,M,Tennessee,311993
M_25to34Years,M,Tennessee,464442
M_35to44Years,M,Tennessee,427727
M_45to54Years,M,Tennessee,438241
M_55to64Years,M,Tennessee,435497
M_65to74Years,M,Tennessee,320313
M_75to84Years,M,Tennessee,141284
M_85YearsandOver,M,Tennessee,38004
M_Under5Years,M,Texas,1000733
M_5to9Years,M,Texas,1043347
M_10to14Years,M,Texas,1111175
M_15to17Years,M,Texas,647804
M_18to24Years,M,Texas,1436876
M_25to34Years,M,Texas,2120302
M_35to44Years,M,Texas,2011317
M_45to54Years,M,Texas,1790202
M_55to64Years,M,Texas,1603097
M_65to74Years,M,Texas,1051370
M_75to84Years,M,Texas,441658
M_85YearsandOver,M,Texas,140290
M_Under5Years,M,Utah,125819
M_5to9Years,M,Utah,136703
M_10to14Years,M,Utah,140717
M_15to17Years,M,Utah,82895
M_18to24Years,M,Utah,185192
M_25to34Years,M,Utah,239874
M_35to44Years,M,Utah,229722
M_45to54Years,M,Utah,172254
M_55to64Years,M,Utah,152357
M_65to74Years,M,Utah,106686
M_75to84Years,M,Utah,46514
M_85YearsandOver,M,Utah,15110
M_Under5Years,M,Vermont,15119
M_5to9Years,M,Vermont,17222
M_10to14Years,M,Vermont,18161
M_15to17Years,M,Vermont,11305
M_18to24Years,M,Vermont,35186
M_25to34Years,M,Vermont,38087
M_35to44Years,M,Vermont,36770
M_45to54Years,M,Vermont,40240
M_55to64Years,M,Vermont,48289
M_65to74Years,M,Vermont,37692
M_75to84Years,M,Vermont,15604
M_85YearsandOver,M,Vermont,4858
M_Under5Years,M,Virginia,256734
M_5to9Years,M,Virginia,266854
M_10to14Years,M,Virginia,280270
M_15to17Years,M,Virginia,166637
M_18to24Years,M,Virginia,415948
M_25to34Years,M,Virginia,593484
M_35to44Years,M,Virginia,568853
M_45to54Years,M,Virginia,555240
M_55to64Years,M,Virginia,546869
M_65to74Years,M,Virginia,376160
M_75to84Years,M,Virginia,165350
M_85YearsandOver,M,Virginia,52882
M_Under5Years,M,Washington,230732
M_5to9Years,M,Washington,242605
M_10to14Years,M,Washington,245314
M_15to17Years,M,Washington,142233
M_18to24Years,M,Washington,341829
M_25to34Years,M,Washington,596836
M_35to44Years,M,Washington,534910
M_45to54Years,M,Washington,476959
M_55to64Years,M,Washington,478018
M_65to74Years,M,Washington,350206
M_75to84Years,M,Washington,143665
M_85YearsandOver,M,Washington,48657
M_Under5Years,M,WestVirginia,48062
M_5to9Years,M,WestVirginia,51311
M_10to14Years,M,WestVirginia,56100
M_15to17Years,M,WestVirginia,33282
M_18to24Years,M,WestVirginia,81598
M_25to34Years,M,WestVirginia,107520
M_35to44Years,M,WestVirginia,110481
M_45to54Years,M,WestVirginia,117303
M_55to64Years,M,WestVirginia,126256
M_65to74Years,M,WestVirginia,104964
M_75to84Years,M,WestVirginia,46984
M_85YearsandOver,M,WestVirginia,12862
M_Under5Years,M,Wisconsin,168590
M_5to9Years,M,Wisconsin,180072
M_10to14Years,M,Wisconsin,195924
M_15to17Years,M,Wisconsin,117764
M_18to24Years,M,Wisconsin,280384
M_25to34Years,M,Wisconsin,375284
M_35to44Years,M,Wisconsin,370951
M_45to54Years,M,Wisconsin,371519
M_55to64Years,M,Wisconsin,416624
M_65to74Years,M,Wisconsin,292854
M_75to84Years,M,Wisconsin,124187
M_85YearsandOver,M,Wisconsin,43468
M_Under5Years,M,Wyoming,17712
M_5to9Years,M,Wyoming,19577
M_10to14Years,M,Wyoming,20150
M_15to17Years,M,Wyoming,11865
M_18to24Years,M,Wyoming,27621
M_25to34Years,M,Wyoming,39712
M_35to44Years,M,Wyoming,38660
M_45to54Years,M,Wyoming,33686
M_55to64Years,M,Wyoming,39252
M_65to74Years,M,Wyoming,30787
M_75to84Years,M,Wyoming,12406
M_85YearsandOver,M,Wyoming,3776
F_Under5Years,F,Alabama,144276
F_5to9Years,F,Alabama,146733
F_10to14Years,F,Alabama,162158
F_15to17Years,F,Alabama,95167
F_18to24Years,F,Alabama,230513
F_25to34Years,F,Alabama,328098
F_35to44Years,F,Alabama,315771
F_45to54Years,F,Alabama,323966
F_55to64Years,F,Alabama,349002
F_65to74Years,F,Alabama,273827
F_75to84Years,F,Alabama,142272
F_85YearsandOver,F,Alabama,56189
F_Under5Years,F,Alaska,24826
F_5to9Years,F,Alaska,25891
F_10to14Years,F,Alaska,24162
F_15to17Years,F,Alaska,14049
F_18to24Years,F,Alaska,29856
F_25to34Years,F,Alaska,54963
F_35to44Years,F,Alaska,46314
F_45to54Years,F,Alaska,41278
F_55to64Years,F,Alaska,44702
F_65to74Years,F,Alaska,29621
F_75to84Years,F,Alaska,11713
F_85YearsandOver,F,Alaska,3827
F_Under5Years,F,Arizona,201999
F_5to9Years,F,Arizona,215310
F_10to14Years,F,Arizona,235194
F_15to17Years,F,Arizona,137529
F_18to24Years,F,Arizona,325423
F_25to34Years,F,Arizona,467102
F_35to44Years,F,Arizona,432664
F_45to54Years,F,Arizona,419087
F_55to64Years,F,Arizona,444079
F_65to74Years,F,Arizona,387296
F_75to84Years,F,Arizona,200147
F_85YearsandOver,F,Arizona,79478
F_Under5Years,F,Arkansas,89170
F_5to9Years,F,Arkansas,95925
F_10to14Years,F,Arkansas,98171
F_15to17Years,F,Arkansas,59874
F_18to24Years,F,Arkansas,136426
F_25to34Years,F,Arkansas,194163
F_35to44Years,F,Arkansas,188700
F_45to54Years,F,Arkansas,183520
F_55to64Years,F,Arkansas,198204
F_65to74Years,F,Arkansas,159216
F_75to84Years,F,Arkansas,83939
F_85YearsandOver,F,Arkansas,35481
F_Under5Years,F,California,1146476
F_5to9Years,F,California,1188179
F_10to14Years,F,California,1296261
F_15to17Years,F,California,757006
F_18to24Years,F,California,1785983
F_25to34Years,F,California,2885487
F_35to44Years,F,California,2620387
F_45to54Years,F,California,2506218
F_55to64Years,F,California,2434959
F_65to74Years,F,California,1782400
F_75to84Years,F,California,885135
F_85YearsandOver,F,California,452818
F_Under5Years,F,Colorado,158279
F_5to9Years,F,Colorado,170826
F_10to14Years,F,Colorado,178712
F_15to17Years,F,Colorado,107666
F_18to24Years,F,Colorado,250233
F_25to34Years,F,Colorado,425915
F_35to44Years,F,Colorado,387976
F_45to54Years,F,Colorado,347705
F_55to64Years,F,Colorado,359938
F_65to74Years,F,Colorado,268788
F_75to84Years,F,Colorado,116980
F_85YearsandOver,F,Colorado,54222
F_Under5Years,F,Connecticut,88388
F_5to9Years,F,Connecticut,97298
F_10to14Years,F,Connecticut,108901
F_15to17Years,F,Connecticut,68990
F_18to24Years,F,Connecticut,168939
F_25to34Years,F,Connecticut,219467
F_35to44Years,F,Connecticut,221766
F_45to54Years,F,Connecticut,249462
F_55to64Years,F,Connecticut,266983
F_65to74Years,F,Connecticut,189547
F_75to84Years,F,Connecticut,98023
F_85YearsandOver,F,Connecticut,58706
F_Under5Years,F,Delaware,26667
F_5to9Years,F,Delaware,27835
F_10to14Years,F,Delaware,29842
F_15to17Years,F,Delaware,17790
F_18to24Years,F,Delaware,41449
F_25to34Years,F,Delaware,64069
F_35to44Years,F,Delaware,58757
F_45to54Years,F,Delaware,62606
F_55to64Years,F,Delaware,73289
F_65to74Years,F,Delaware,61044
F_75to84Years,F,Delaware,29795
F_85YearsandOver,F,Delaware,11530
F_Under5Years,F,DistrictofColumbia,21068
F_5to9Years,F,DistrictofColumbia,17734
F_10to14Years,F,DistrictofColumbia,15149
F_15to17Years,F,DistrictofColumbia,7798
F_18to24Years,F,DistrictofColumbia,38651
F_25to34Years,F,DistrictofColumbia,82770
F_35to44Years,F,DistrictofColumbia,54067
F_45to54Years,F,DistrictofColumbia,36364
F_55to64Years,F,DistrictofColumbia,35382
F_65to74Years,F,DistrictofColumbia,27553
F_75to84Years,F,DistrictofColumbia,14617
F_85YearsandOver,F,DistrictofColumbia,6511
F_Under5Years,F,Florida,547351
F_5to9Years,F,Florida,564146
F_10to14Years,F,Florida,608112
F_15to17Years,F,Florida,363328
F_18to24Years,F,Florida,847487
F_25to34Years,F,Florida,1352337
F_35to44Years,F,Florida,1311562
F_45to54Years,F,Florida,1379530
F_55to64Years,F,Florida,1506298
F_65to74Years,F,Florida,1304876
F_75to84Years,F,Florida,737603
F_85YearsandOver,F,Florida,327584
F_Under5Years,F,Georgia,314626
F_5to9Years,F,Georgia,335684
F_10to14Years,F,Georgia,369232
F_15to17Years,F,Georgia,219670
F_18to24Years,F,Georgia,498805
F_25to34Years,F,Georgia,740657
